Rank,Movie,"Release
Date",Distributor,Genre,2023 Gross,Tickets Sold
1,Avatar: The Way of Water,"Dec 16, 2022",20th Century Studios,Action,"$239,856,793","26,156,684"
2,Ant-Man and the Wasp: Quant…,"Feb 17, 2023",Walt Disney,Action,"$167,314,584","18,245,865"
3,Puss in Boots: The Last Wish,"Dec 21, 2022",Universal,Adventure,"$112,208,395","12,236,466"
4,M3GAN,"Jan 6, 2023",Universal,Horror,"$94,536,965","10,309,374"
5,A Man Called Otto,"Dec 30, 2022",Sony Pictures,Comedy,"$62,225,203","6,785,736"
6,80 for Brady,"Feb 3, 2023",Paramount Pictures,Comedy,"$36,447,000","3,974,591"
7,Knock at the Cabin,"Feb 3, 2023",Universal,Thriller/Suspense,"$33,903,205","3,697,187"
8,Plane,"Jan 13, 2023",Lionsgate,Action,"$32,075,082","3,497,827"
9,Missing,"Jan 20, 2023",Sony Pictures,Thriller/Suspense,"$31,423,927","3,426,818"
10,Magic Mike’s Last Dance,"Feb 10, 2023",Warner Bros.,Comedy,"$23,150,000","2,524,536"
11,Cocaine Bear,"Feb 24, 2023",Universal,Black Comedy,"$23,090,000","2,517,993"
12,Pathaan,"Jan 25, 2023",Yash Raj Films,Thriller/Suspense,"$17,173,447","1,872,785"
13,Jesus Revolution,"Feb 24, 2023",Lionsgate,Drama,"$15,525,000","1,693,020"
14,Black Panther: Wakanda Forever,"Nov 11, 2022",Walt Disney,Action,"$15,494,267","1,689,669"
15,Titanic,"Dec 19, 1997",Paramount Pictures,Drama,"$14,329,056","1,562,601"
16,The Whale,"Dec 9, 2022",A24,Drama,"$10,911,176","1,189,877"
17,Whitney Houston I Wanna Dan…,"Dec 23, 2022",Sony Pictures,Drama,"$9,147,645","997,562"
18,House Party,"Jan 13, 2023",Warner Bros.,Comedy,"$9,002,247","981,706"
19,BTS: Yet to Come in Cinemas,"Feb 1, 2023",Trafalgar Releasing,Documentary,"$7,800,000","850,599"
20,Babylon,"Dec 23, 2022",Paramount Pictures,Drama,"$6,268,558","683,594"
21,The Chosen Season 3 Finale,"Feb 2, 2023",Fathom Events,Drama,"$5,525,069","602,515"
22,Infinity Pool,"Jan 27, 2023",Neon,Horror,"$5,078,401","553,805"
23,The Fabelmans,"Nov 23, 2022",Universal,Drama,"$5,062,945","552,120"
24,The Wandering Earth 2,"Jan 22, 2023",Well Go USA,Action,"$4,936,784","538,362"
25,Women Talking,"Dec 23, 2022",United Artists,Drama,"$4,467,344","487,169"
26,Left Behind: Rise of the An…,"Jan 26, 2023",Fathom Events,Thriller/Suspense,"$3,649,422","397,974"
27,Marlowe,"Feb 15, 2023",Open Road,Thriller/Suspense,"$3,434,351","374,520"
28,Everything Everywhere All A…,"Mar 25, 2022",A24,Action,"$3,016,193","328,919"
29,Living,"Dec 23, 2022",Sony Pictures Cla…,Drama,"$2,533,122","276,240"
30,Violent Night,"Dec 2, 2022",Universal,Comedy,"$2,455,485","267,773"
31,The Menu,"Nov 18, 2022",Searchlight Pictures,Black Comedy,"$2,342,179","255,417"
32,Fear,"Jan 27, 2023",Hidden Empire Rel…,Horror,"$2,138,235","233,177"
33,Skinamarink,"Jan 13, 2023",IFC Midnight,Horror,"$2,046,427","223,165"
34,Winnie-The-Pooh: Blood and …,"Feb 15, 2023",Fathom Events,Horror,"$1,750,639","190,909"
35,2023 Oscar Shorts,"Feb 17, 2023",ShortsHD,Multiple Genres,"$1,601,215","174,614"
36,That Time I Got Reincarnate…,"Jan 20, 2023",Crunchyroll,Adventure,"$1,459,515","159,161"
37,The Amazing Maurice,"Feb 3, 2023",Viva Kids,Adventure,"$1,440,000","157,033"
38,The Banshees of Inisherin,"Oct 21, 2022",Searchlight Pictures,Drama,"$1,372,540","149,677"
39,Maybe I Do,"Jan 27, 2023",Vertical Entertai…,Romantic Comedy,"$1,293,842","141,095"
40,Billie Eilish Live at the 0…,"Jan 27, 2023",Trafalgar Releasing,Concert/Perfor…,"$1,290,000","140,676"
41,Waltair Veerayya,"Jan 13, 2023",Friday Entertainment,Drama,"$1,080,000","117,775"
42,TÁR,"Oct 7, 2022",Focus Features,Drama,"$1,011,870","110,345"
43,Broker,"Dec 26, 2022",Neon,Drama,"$993,145","108,303"
44,Strange World,"Nov 23, 2022",Walt Disney,Adventure,"$976,202","106,456"
45,Close,"Dec 2, 2022",A24,Drama,"$851,004","92,803"
46,The Devil Conspiracy,"Jan 13, 2023",Third Day Product…,Horror,"$765,218","83,447"
47,Devotion,"Nov 23, 2022",Sony Pictures,Action,"$673,996","73,500"
48,Corsage,"Dec 23, 2022",IFC Films,Drama,"$627,998","68,483"
49,Sword Art Online Progressiv…,"Feb 3, 2023",Crunchyroll,Action,"$607,000","66,194"
50,Hidden Blade,"Feb 17, 2023",Well Go USA,Drama,"$603,983","65,865"
51,Shin Ultraman,"Jan 11, 2023",Fathom Events,Action,"$601,490","65,593"
52,EO,"Nov 18, 2022",Janus Films,Drama,"$572,687","62,452"
53,Aftersun,"Oct 21, 2022",A24,Drama,"$548,164","59,777"
54,Consecration,"Feb 10, 2023",IFC Films,Horror,"$529,759","57,770"
55,Of an Age,"Feb 17, 2023",Focus Features,Drama,"$519,655","56,669"
56,Emily,"Feb 17, 2023",Bleecker Street,Drama,"$466,181","50,837"
57,The Son,"Nov 25, 2022",Sony Pictures Cla…,Drama,"$449,650","49,034"
58,Triangle of Sadness,"Oct 7, 2022",Neon,Black Comedy,"$378,756","41,303"
59,"Crouching Tiger, Hidden Dragon","Dec 8, 2000",Sony Pictures Cla…,Action,"$338,285","36,890"
60,Turn Every Page: The Advent…,"Dec 30, 2022",Sony Pictures Cla…,Documentary,"$252,951","27,584"
61,Empire of Light,"Dec 9, 2022",Searchlight Pictures,Drama,"$224,566","24,489"
