Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
1,Avatar: The Way of Water,-,-,-,"$264,375,954","4,340","$625,620,442",Dec 16,20th Century Studios,false
2,Ant-Man and the Wasp: Quantumania,-,-,-,"$167,314,584","4,345","$135,114,584",Feb 17,Walt Disney Studios Motion Pictures,false
3,Puss in Boots: The Last Wish,-,-,-,"$117,765,910","4,121","$143,342,670",Dec 21,Universal Pictures,false
4,M3GAN,-,-,-,"$94,536,965","3,628","$83,797,375",Jan 6,Universal Pictures,false
5,A Man Called Otto,-,-,-,"$62,242,161","3,957","$48,828,403",Dec 30,Columbia Pictures,false
6,80 for Brady,-,-,-,"$36,447,281","3,939","$34,617,281",Feb 3,Paramount Pictures,false
7,Knock at the Cabin,-,-,-,"$33,903,205","3,657","$32,033,205",Feb 3,Universal Pictures,false
8,Plane,-,-,-,"$32,075,082","3,060","$26,670,732",Jan 13,Lionsgate,false
9,Missing,-,-,-,"$31,418,927","3,025","$19,292,094",Jan 20,Sony Pictures Entertainment (SPE),false
10,Cocaine Bear,-,-,-,"$23,090,000","3,534","$23,090,000",Feb 24,Universal Pictures,false
11,Magic Mike's Last Dance,-,-,-,"$22,172,590","3,034","$20,279,590",Feb 10,Warner Bros.,false
12,Black Panther: Wakanda Forever,-,-,-,"$17,285,988","4,396","$453,251,600",Nov 11,Walt Disney Studios Motion Pictures,false
13,Pathaan,-,-,-,"$16,866,768",697,"$16,866,768",Jan 25,Yash Raj Films USA Inc.,false
14,Jesus Revolution,-,-,-,"$15,525,000","2,475","$15,525,000",Feb 24,Lionsgate,false
15,Titanic25 Year Anniversary,-,-,-,"$14,466,568","2,464","$13,786,568",Feb 10,Paramount Pictures,false
16,The Whale,-,-,-,"$11,432,391","1,721","$15,341,827",Dec 9,A24,false
17,Whitney Houston: I Wanna Dance with Somebody,-,-,-,"$10,418,680","3,625","$23,675,593",Dec 23,TriStar Pictures,false
18,House Party,-,-,-,"$9,002,247","1,400","$9,002,247",Jan 13,Warner Bros.,false
19,BTS: Yet to Come in Cinemas,-,-,-,"$6,350,496","1,210","$8,093,270",Feb 1,Trafalgar Releasing,false
20,Babylon,-,-,-,"$6,268,558","3,351","$15,351,455",Dec 23,Paramount Pictures,false
21,The Chosen Season 3 Finale,-,-,-,"$5,525,069","1,979","$5,525,069",Feb 2,Fathom Events,false
22,The Fabelmans,-,-,-,"$5,367,910","1,962","$16,377,605",Nov 11,Universal Pictures,false
23,Infinity Pool,-,-,-,"$5,078,400","1,835","$5,078,400",Jan 27,Neon,false
24,Women Talking,-,-,-,"$4,484,427",707,"$4,619,331",Dec 23,United Artists Releasing,false
25,Left Behind: Rise of the Antichrist,-,-,-,"$3,649,422","1,407","$3,649,422",Jan 26,Fathom Events,false
26,The Amazing Maurice,-,-,-,"$3,561,050","1,717","$3,411,556",Feb 3,Viva Pictures,false
27,Marlowe,-,-,-,"$3,434,351","2,281","$3,434,351",Feb 15,Open Road Films (II),false
28,The Wandering Earth II,-,-,-,"$3,322,090",172,"$4,894,805",Jan 22,Well Go USA Entertainment,false
29,Violent Night,-,-,-,"$3,181,795","3,723","$49,732,780",Dec 2,Universal Pictures,false
30,Everything Everywhere All at Once,-,-,-,"$3,016,193","2,220","$71,486,139",Mar 25,A24,false
31,The Menu,-,-,-,"$2,779,574","3,228","$38,501,125",Nov 18,Searchlight Pictures,false
32,Living,-,-,-,"$2,538,469",644,"$2,460,308",Dec 23,Sony Pictures Entertainment (SPE),false
33,Skinamarink,-,-,-,"$2,046,427",809,"$2,046,427",Jan 13,IFC Films,false
34,Winnie the Pooh: Blood and Honey,-,-,-,"$1,750,639","1,652","$1,750,639",Feb 15,Fathom Events,false
35,Fear,-,-,-,"$1,735,359",974,"$2,090,261",Jan 27,Hidden Empire Film Group (HEFG),false
36,2023 Oscar Nominated Short Films: Live Action,-,-,-,"$1,601,215",357,"$1,133,215",Feb 17,ShortsTV,false
37,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,-,-,-,"$1,588,491","1,473","$1,588,491",Jan 20,Crunchyroll,false
38,The Banshees of Inisherin,-,-,-,"$1,394,423","1,205","$10,039,521",Oct 21,Searchlight Pictures,false
39,Maybe I Do,-,-,-,"$1,293,722",465,"$1,293,722",Jan 27,Vertical Entertainment,false
40,Billie Eilish Live at the O2,-,-,-,"$1,290,000",600,"$1,290,000",Jan 27,Trafalgar Releasing,false
41,Strange World,-,-,-,"$1,120,039","4,174","$37,968,963",Nov 23,Walt Disney Studios Motion Pictures,false
42,Tár,-,-,-,"$1,027,985","1,090","$6,246,660",Oct 7,Focus Features,false
43,Broker,-,-,-,"$1,001,892",271,"$1,046,899",Dec 23,Neon,false
44,Close,-,-,-,"$851,004",233,"$84,422",Jan 27,A24,false
45,The Devil Conspiracy,-,-,-,"$765,218",925,"$765,218",Jan 13,-,false
46,Devotion,-,-,-,"$673,996","3,458","$20,511,938",Nov 23,Columbia Pictures,false
47,Corsage,-,-,-,"$637,269",317,"$704,716",Dec 23,IFC Films,false
48,Shin Ultraman,-,-,-,"$601,490","1,040","$601,490",Jan 11,Fathom Events,false
49,EO,-,-,-,"$567,524",80,"$1,012,733",Nov 18,Sideshow Releasing,false
50,Consecration,-,-,-,"$529,759",762,"$529,759",Feb 10,IFC Films,false
51,Of an Age,-,-,-,"$519,655",289,"$467,655",Feb 17,Focus Features,false
52,Aftersun,-,-,-,"$477,777",97,"$1,437,579",Oct 21,A24,false
53,Hidden Blade,-,-,-,"$471,916",62,"$471,916",Feb 17,Well Go USA Entertainment,false
54,Emily,-,-,-,"$466,181",579,"$61,155",Feb 17,-,false
